RM_ID,RM_Name,Region,Target_Lakhs,Fresh_Lakhs,Renewal_Lakhs,Focus_Lakhs,Target_GWP,Achieved_GWP,Annual_Points,Loss_Ratio,Renewal_Rate,Adjusted Premium,Adjusted Achievement %,Base Incentive Pool,Elevate Payout Multiplier,Final Elevate Incentive (Lakhs),Legacy Base PLI (Lakhs),PDF Consistency Booster Tier,Final Legacy PDF Incentive (Lakhs)
RZ5425,RM185,NORTH,2082000,858124,95309,20775,0.21,0.1,28,70,26,1199127,0.58,31230,0,0,0.1,0.2,0.1
RZ5428,RM186,SOUTH 2,1152000,381964.7966,805627,0,0.12,0.12,10,70,66.4,1283083,1.11,17280,1.1,19008,0.1,0.1,0.1
RZ5434,RM187,SOUTH 2,2556000,347298.5085,58896,12310,0.26,0.04,22,70,18.9,511484,0.2,38340,0,0,0,0.2,0.1
RZ5474,RM188,SOUTH 1,830000,303811.8136,63299,4578,0.08,0.04,16,70,59.3,449931,0.54,12450,0,0,0,0.1,0
RZ5480,RM189,SOUTH 1,998000,296850.1017,197705,6600,0.1,0.05,11,70,136.8,578668,0.58,14970,0,0,0.1,0.1,0.1
RZ5501,RM190,NORTH,747000,321468.7627,164286,21470,0.07,0.05,35,70,75.2,598327,0.8,11205,0.5,5602.5,0.1,0.2,0.1
RZ5502,RM191,EAST,1450000,222627.7119,299037,12000,0.15,0.05,13,70,105.6,595322,0.41,21750,0,0,0.1,0.1,0.1
RZ5503,RM192,WEST 2,1337000,359652.5593,142622,5340,0.13,0.05,18,70,28.3,600198,0.45,20055,0,0,0.1,0.1,0.1
RZ5537,RM193,NORTH,700000,394171.8644,179281,11250,0.07,0.06,5,70,60.3,688871,0.98,10500,0.8,8400,0.1,0,0.1
RZ5556,RM194,EAST,1351000,135019.7458,159298,39810,0.14,0.03,21,70,38.8,387788,0.29,20265,0,0,0,0.1,0
RZ5562,RM195,EAST,2047000,810924.0678,468210,108138.3333,0.2,0.13,23,70,52.6,1644073,0.8,30705,0.5,15352.5,0.2,0.2,0.2
RZ5585,RM196,WEST 1,1700000,98701.42373,431217,6150,0.17,0.05,17,70,78.7,563819,0.33,25500,0,0,0.1,0.1,0.1
RZ5593,RM197,SOUTH 2,1075000,190482.339,407963,29327,0.11,0.06,25,70,69.4,690056,0.64,16125,0,0,0.1,0.2,0.1
RZ5594,RM198,SOUTH 2,1519000,198561.3898,20305,3400,0.15,0.02,10,70,20.1,273607,0.18,22785,0,0,0,0.1,0
RZ5598,RM199,SOUTH 2,874000,285274.1525,366788,0,0.09,0.07,16,70,67.5,723381,0.83,13110,0.5,6555,0.1,0.1,0.1
RZ5603,RM200,WEST 2,2072000,631754.7288,551158,0,0.21,0.12,30,70,68.2,1340851,0.65,31080,0,0,0.1,0.2,0.2
RZ5605,RM201,WEST 2,1642000,186609.6102,920729,0,0.16,0.11,8,70,404,1153991,0.7,24630,0.5,12315,0.1,0.1,0.1
RZ5606,RM202,WEST 2,1521000,315682,95072,4725,0.15,0.04,20,70,33.2,496762,0.33,22815,0,0,0,0.1,0.1
RZ5609,RM203,WEST 2,1183000,661875.2034,481750,8140,0.12,0.11,14,70,70.1,1321304,1.12,17745,1.1,19519.5,0.1,0.1,0.1
RZ5627,RM204,WEST 1,1168000,588738.9661,135569,10005,0.12,0.07,24,70,57.5,886500,0.76,17520,0.5,8760,0.1,0.2,0.1
RZ5654,RM205,SOUTH 1,885000,214997.4068,77426,28891,0.09,0.03,19,70,24,389509,0.44,13275,0,0,0,0.1,0
RZ5661,RM206,SOUTH 2,1188000,432807.5932,471560,15509,0.12,0.09,4,70,89.2,1035833,0.87,17820,0.8,14256,0.1,0,0.1
RZ5668,RM207,WEST 2,971000,331457.9661,407968,0,0.1,0.07,29,70,76.3,822290,0.85,14565,0.5,7282.5,0.1,0.2,0.1
RZ5675,RM208,NORTH,1474000,337590.9661,10607,11925,0.15,0.03,9,70,8.2,450483,0.31,22110,0,0,0,0.1,0
RZ5676,RM209,NORTH,1387000,1233815,72191,0,0.14,0.13,18,70,59.8,1614460,1.16,20805,1.3,27046.5,0.2,0.1,0.2
RZ5679,RM210,EAST,1924000,341921,725364,3000,0.19,0.11,33,70,106.2,1157265,0.6,28860,0,0,0.1,0.2,0.2
RZ5688,RM211,NORTH,1833000,195812.5932,559015,12407,0.18,0.08,12,70,99.8,822391,0.45,27495,0,0,0.1,0.1,0.1
RZ5695,RM212,EAST,1160000,125978,208227,450,0.12,0.03,23,70,62.1,366375,0.32,17400,0,0,0,0.2,0
RZ5708,RM213,SOUTH 1,800000,879321.9661,0,0,0.08,0.09,7,70,0,1099152,1.37,12000,1.5,18000,0.1,0,0.1
RZ5715,RM214,NORTH,1582000,1563932,54299,0,0.16,0.16,22,70,29.1,2009214,1.27,23730,1.3,30849,0.2,0.2,0.2
RZ5719,RM215,SOUTH 2,808000,627204.2712,164366,27820,0.08,0.08,25,70,51.3,990101,1.23,12120,1.3,15756,0.1,0.2,0.1
RZ5724,RM216,NORTH,1610000,1542438,34442,39820,0.16,0.16,19,70,40.4,2022220,1.26,24150,1.3,31395,0.2,0.1,0.2
RZ5746,RM217,SOUTH 2,970000,205803.7119,389449,0,0.1,0.06,18,70,78.5,646704,0.67,14550,0,0,0.1,0.1,0.1
RZ5757,RM218,NORTH,700000,771699,100168,9000,0.07,0.09,12,70,56.5,1078292,1.54,10500,1.5,15750,0.1,0.1,0.1
RZ5763,RM219,SOUTH 2,1338000,88952.71186,214165,0,0.13,0.03,15,70,57.3,325356,0.24,20070,0,0,0,0.1,0
RZ5768,RM220,NORTH,1538000,217346.7966,262954,48275,0.15,0.05,21,70,63.9,607050,0.39,23070,0,0,0.1,0.1,0.1
RZ5790,RM221,WEST 1,1500000,1529541,4994,0,0.15,0.15,10,70,4.7,1916920,1.28,22500,1.3,29250,0.2,0.1,0.2
RZ5795,RM222,NORTH,2106000,125563.8814,218983,8025,0.21,0.03,26,70,46,387975,0.18,31590,0,0,0,0.2,0
RZ5857,RM223,WEST 1,1253000,1880803.051,620150,2631,0.13,0.25,11,70,70.2,2975100,2.37,18795,1.5,28192.5,0.3,0.1,0.3
RZ5862,RM224,SOUTH 1,933000,518346.5085,41311,4500,0.09,0.06,20,70,35,695994,0.75,13995,0.5,6997.5,0.1,0.1,0.1
RZ5880,RM225,NORTH,1198000,263052.2203,55389,2625,0.12,0.03,32,70,40.1,388142,0.32,17970,0,0,0,0.2,0
RZ5882,RM226,SOUTH 2,1260000,1037883.136,464266,0,0.13,0.15,5,70,55.8,1761620,1.4,18900,1.5,28350,0.2,0,0.2
RZ5883,RM227,SOUTH 1,910000,303432.9831,51661,66600,0.09,0.04,21,70,44.4,530852,0.58,13650,0,0,0,0.1,0
RZ5886,RM228,NORTH,1206000,752108.7119,68940,6900,0.12,0.08,14,70,57.4,1019426,0.85,18090,0.5,9045,0.1,0.1,0.1
RZ5896,RM229,NORTH,1515000,973702.9661,117076,948562,0.15,0.11,25,70,50.4,2757048,1.82,22725,1.5,34087.5,0.1,0.2,0.2
RZ5915,RM230,SOUTH 1,910000,844721.7797,198590,17250,0.09,0.1,24,70,57.7,1280367,1.41,13650,1.5,20475,0.1,0.2,0.1
RZ5921,RM231,SOUTH 2,1597000,318795.5424,628486,0,0.16,0.09,15,70,168.2,1026980,0.64,23955,0,0,0.1,0.1,0.1
RZ5924,RM232,SOUTH 1,859000,319452,17150,0,0.09,0.03,17,70,14.4,416465,0.48,12885,0,0,0,0.1,0
RZ5930,RM233,SOUTH 2,700000,187047.4068,144601,0,0.07,0.03,3,70,123.4,378410,0.54,10500,0,0,0,0,0
RZ5944,RM234,NORTH,700000,274772,187514,0,0.07,0.05,21,70,43,530979,0.76,10500,0.5,5250,0.1,0.1,0.1
RZ5950,RM235,EAST,700000,124577.9661,161582,18650,0.07,0.03,28,70,81,345279,0.49,10500,0,0,0,0.2,0
RZ5959,RM236,SOUTH 1,504000,721120.9661,0,0,0.05,0.07,8,70,0,901401,1.79,7560,1.5,11340,0.1,0.1,0.1
RZ5981,RM237,SOUTH 1,902000,738501.9831,12511,7164.333333,0.09,0.08,25,70,6.1,946385,1.05,13530,1.1,14883,0.1,0.2,0.1
RZ5987,RM238,NORTH,729000,24038.9661,121457,4924,0.07,0.01,16,70,55.8,158892,0.22,10935,0,0,0,0.1,0
RZ5998,RM239,NORTH,766000,1238184.763,77780,4200,0.08,0.13,16,70,38.7,1631811,2.13,11490,1.5,17235,0.2,0.1,0.2
RZ6001,RM240,SOUTH 1,1140000,235834.2034,132858,2520,0.11,0.04,37,70,78.9,431431,0.38,17100,0,0,0,0.2,0.1
RZ6010,RM241,SOUTH 2,2689000,353087.4407,36584,63285,0.27,0.04,4,70,20.1,572871,0.21,40335,0,0,0,0,0
RZ6019,RM242,NORTH,1299000,115705.7119,215289,56298,0.13,0.03,22,70,88.5,444368,0.34,19485,0,0,0,0.2,0
RZ6027,RM243,SOUTH 2,1705000,244247.6271,65476,71860,0.17,0.03,9,70,31.7,478576,0.28,25575,0,0,0,0.1,0
RZ6030,RM244,SOUTH 1,821000,821291,-14726,0,0.08,0.08,20,70,-26.7,1011888,1.23,12315,1.3,16009.5,0.1,0.1,0.1
RZ6032,RM245,SOUTH 1,954000,214839.8475,21440,5400,0.1,0.02,19,70,32.1,298090,0.31,14310,0,0,0,0.1,0
RZ6034,RM246,EAST,880000,508464.3729,113696,293310,0.09,0.06,17,70,25,1189241,1.35,13200,1.5,19800,0.1,0.1,0.1
RZ6037,RM247,EAST,910000,655245,81359,0,0.09,0.07,30,70,26.5,900415,0.99,13650,0.8,10920,0.1,0.2,0.1
RZ6041,RM248,NORTH,1664000,1111844.983,87154,15575,0.17,0.12,12,70,58.4,1500323,0.9,24960,0.8,19968,0.1,0.1,0.2
RZ6048,RM249,NORTH,2168000,2258792,237791,0,0.22,0.25,24,70,81.1,3061281,1.41,32520,1.5,48780,0.3,0.2,0.3
RZ6055,RM250,SOUTH 1,1043000,410991.9322,1559114,0,0.1,0.2,23,70,258.4,2072854,1.99,15645,1.5,23467.5,0.2,0.2,0.3
RZ6060,RM251,NORTH,908000,124437,21532,0,0.09,0.01,11,70,55.5,177078,0.2,13620,0,0,0,0.1,0
RZ6085,RM252,WEST 1,1771000,329288.7966,482075,11250,0.18,0.08,18,70,84,910561,0.51,26565,0,0,0.1,0.1,0.1
RZ6086,RM253,SOUTH 1,1116000,164520.3729,19762,0,0.11,0.02,6,70,18.3,225412,0.2,16740,0,0,0,0,0
RZ6092,RM254,WEST 2,1032000,230778.6949,277686,10000,0.1,0.05,15,70,44.4,581159,0.56,15480,0,0,0.1,0.1,0.1
RZ6096,RM255,SOUTH 2,1786000,722173.1186,264707,9770,0.18,0.1,33,70,44.8,1182078,0.66,26790,0,0,0.1,0.2,0.1
RZ6106,RM256,SOUTH 2,1369000,253625,445731,0,0.14,0.07,12,70,111,762762,0.56,20535,0,0,0.1,0.1,0.1
RZ6107,RM257,SOUTH 1,1264000,109434.7119,229057,0,0.13,0.03,23,70,64.1,365850,0.29,18960,0,0,0,0.2,0
RZ6112,RM258,WEST 1,1234000,1249850.356,180342,176816,0.12,0.14,14,70,76,2007879,1.63,18510,1.5,27765,0.2,0.1,0.2
RZ6124,RM259,SOUTH 1,1075000,439906.678,62305,15650,0.11,0.05,17,70,20.9,635663,0.59,16125,0,0,0.1,0.1,0.1
RZ6127,RM260,SOUTH 2,906000,287475.0508,386783,30280,0.09,0.07,25,70,81.1,791547,0.87,13590,0.8,10872,0.1,0.2,0.1
RZ6131,RM261,EAST,1239000,270674.1017,999931,8388.5,0.12,0.13,5,70,193.4,1350856,1.09,18585,1.1,20443.5,0.2,0,0.2
RZ6132,RM262,SOUTH 1,1782000,908380.1695,392085,0,0.18,0.13,20,70,47.4,1527560,0.86,26730,0.8,21384,0.2,0.1,0.2
RZ6142,RM263,SOUTH 2,1457000,354243.3729,95271,26250,0.15,0.04,10,70,39.8,577450,0.4,21855,0,0,0.1,0.1,0.1
RZ6148,RM264,SOUTH 2,700000,229134.6441,13066,68520,0.07,0.02,22,70,27.8,402264,0.57,10500,0,0,0,0.2,0
RZ6150,RM265,NORTH,700000,223876,151084,14370,0.07,0.04,21,70,37.3,452484,0.65,10500,0,0,0,0.1,0
RZ6154,RM266,WEST 2,700000,182818.9322,321915,0,0.07,0.05,19,70,57.6,550439,0.79,10500,0.5,5250,0.1,0.1,0.1
RZ6156,RM267,SOUTH 2,1301000,484969.8475,17444,7250,0.13,0.05,26,70,18.7,634531,0.49,19515,0,0,0.1,0.2,0.1
RZ6168,RM268,WEST 2,700000,465830.7119,135542,3690,0.07,0.06,9,70,50.9,723365,1.03,10500,1.1,11550,0.1,0.1,0.1
RZ6171,RM269,SOUTH 1,700000,212234.6102,34441,0,0.07,0.02,20,70,47.3,299734,0.43,10500,0,0,0,0.1,0
RZ6187,RM270,SOUTH 2,1941000,291488.8475,185289,2550,0.19,0.05,32,70,78,553475,0.29,29115,0,0,0.1,0.2,0.1
RZ6195,RM271,SOUTH 1,1234000,240883.6949,332510,0,0.12,0.06,8,70,86,633615,0.51,18510,0,0,0.1,0.1,0.1
RZ6196,RM272,WEST 2,700000,48443.79661,89682.33,1008,0.07,0.01,17,70,0,151749,0.22,10500,0,0,0,0.1,0
RZ6202,RM273,NORTH,700000,372728,154020,16002,0.07,0.05,4,70,35.4,643933,0.92,10500,0.8,8400,0.1,0,0.1
RZ6203,RM274,NORTH,700000,438665.9661,236014,6358.666667,0.07,0.07,16,70,35.4,793884,1.13,10500,1.1,11550,0.1,0.1,0.1
RZ6204,RM275,SOUTH 1,700000,1012682,56683,0,0.07,0.11,28,70,107.9,1322536,1.89,10500,1.5,15750,0.1,0.2,0.2
RZ6210,RM276,SOUTH 2,904000,368543.678,431198,23193,0.09,0.08,15,70,57.6,926667,1.03,13560,1.1,14916,0.1,0.1,0.1
RZ6211,RM277,SOUTH 1,903000,340119.2373,95846,0,0.09,0.04,24,70,66.6,520995,0.58,13545,0,0,0.1,0.2,0.1
RZ6223,RM278,NORTH,1739000,324199,21287,49297,0.17,0.03,12,70,25.1,500481,0.29,26085,0,0,0,0.1,0
RZ6236,RM279,SOUTH 2,1573000,266547.3898,185222,56430,0.16,0.05,21,70,73.8,603051,0.38,23595,0,0,0.1,0.1,0.1
RZ6239,RM280,NORTH,700000,333634.9661,0,10535,0.07,0.03,35,70,0,432846,0.62,10500,0,0,0,0.2,0
RZ6240,RM281,WEST 2,1058000,417587.9492,237825,0,0.11,0.07,3,70,0,759810,0.72,15870,0.5,7935,0.1,0,0.1
RZ6252,RM282,SOUTH 1,1974000,212100.1864,90385,2635,0.2,0.03,22,70,31.6,359463,0.18,29610,0,0,0,0.2,0
RZ6260,RM283,NORTH,1458000,1501733,44846,0,0.15,0.15,16,70,38.4,1922012,1.32,21870,1.5,32805,0.2,0.1,0.2
RZ6263,RM284,SOUTH 2,1641000,283547.2203,162770,0,0.16,0.04,19,70,138.2,517204,0.32,24615,0,0,0.1,0.1,0.1
RZ6271,RM285,SOUTH 2,1427000,299255.0678,70307,83450,0.14,0.04,24,70,43.9,569551,0.4,21405,0,0,0,0.2,0.1
RZ6272,RM286,NORTH,1406000,547686.6441,398427,51510,0.14,0.09,10,70,60,1160300,0.83,21090,0.5,10545,0.1,0.1,0.1
RZ6273,RM287,NORTH,807000,365949.0847,114075,7610,0.08,0.05,29,70,32.6,582926,0.72,12105,0.5,6052.5,0.1,0.2,0.1
RZ6277,RM288,EAST,1322000,327313.4237,97342,0,0.13,0.04,7,70,18.1,506484,0.38,19830,0,0,0.1,0,0.1
RZ6283,RM289,NORTH,731000,34004.05085,113157,0,0.07,0.01,25,70,175.3,155662,0.21,10965,0,0,0,0.2,0
RZ6287,RM290,NORTH,1416000,177900.4407,322006,8250,0.14,0.05,19,70,59,556757,0.39,21240,0,0,0.1,0.1,0.1
RZ6294,RM291,SOUTH 2,902000,232610,371950.33,10920,0.09,0.06,17,70,75.3,679093,0.75,13530,0.5,6765,0.1,0.1,0.1
RZ6313,RM292,EAST,1283000,120973.1017,342107,5460,0.13,0.05,18,70,75.9,501513,0.39,19245,0,0,0.1,0.1,0.1
RZ6319,RM293,SOUTH 2,4625000,302020.8475,228688,8400,0.46,0.05,11,70,49.1,618814,0.13,69375,0,0,0.1,0.1,0.1
RZ6326,RM294,SOUTH 2,1774000,244292.0508,20442,31500,0.18,0.03,22,70,9.6,373057,0.21,26610,0,0,0,0.2,0
RZ6327,RM295,EAST,1357000,352294.8475,298750,22540,0.14,0.07,32,70,71.3,772929,0.57,20355,0,0,0.1,0.2,0.1
RZ6336,RM296,SOUTH 2,1169000,240259.4915,403741,50520,0.12,0.06,12,70,57.6,779845,0.67,17535,0,0,0.1,0.1,0.1
RZ6338,RM297,NORTH,700000,424907.4576,36434,9960,0.07,0.05,23,70,14.5,582508,0.83,10500,0.5,5250,0.1,0.2,0.1
RZ6339,RM298,WEST 2,842000,583311.2373,81425,0,0.08,0.07,14,70,33.4,810564,0.96,12630,0.8,10104,0.1,0.1,0.1
RZ6341,RM299,SOUTH 2,700000,4924,17437,0,0.07,0,17,70,0,23592,0.03,10500,0,0,0,0.1,0
RZ6342,RM300,NORTH,740000,53678,65198,0,0.07,0.01,28,70,46.4,132296,0.18,11100,0,0,0,0.2,0
RZ6360,RM301,SOUTH 2,1584000,360111.339,221627,42480,0.16,0.06,,70,79.2,735486,0.46,23760,0,0,0.1,0,0.1
RZ6366,RM302,EAST,700000,209860,683974,46770,0.07,0.09,,70,78.1,1016454,1.45,10500,1.5,15750,0.1,0,0.1
RZ6399,RM303,SOUTH 2,1633000,490403.9661,342619,16775,0.16,0.08,,70,71.4,980786,0.6,24495,0,0,0.1,0,0.1
RZ6403,RM304,SOUTH 2,700000,201779.7797,101730,16526,0.07,0.03,,70,47.7,378744,0.54,10500,0,0,0,0,0
RZ6418,RM305,SOUTH 2,942000,522187.7119,347184,121228,0.09,0.09,,70,80.5,1181761,1.25,14130,1.3,18369,0.1,0,0.1
RZ6425,RM306,NORTH,1548000,161047.8814,273199,3000,0.15,0.04,,70,66.3,479009,0.31,23220,0,0,0.1,0,0.1
RZ6439,RM307,SOUTH 1,809000,487489,2278,0,0.08,0.05,,70,3.9,611639,0.76,12135,0.5,6067.5,0.1,0,0.1
RZ6443,RM308,EAST,1027000,1441782,104725,0,0.1,0.15,,70,2167.8,1906953,1.86,15405,1.5,23107.5,0.2,0,0.2
RZ6469,RM309,EAST,1644000,199502.0508,34027,18259,0.16,0.02,,70,11.2,310793,0.19,24660,0,0,0,0,0
RZ6504,RM310,NORTH,700000,492831.0508,66340,6305,0.07,0.06,,70,47.6,691836,0.99,10500,0.8,8400,0.1,0,0.1
RZ6529,RM311,EAST,1903000,356156,178204,101918,0.19,0.05,,70,37.9,776276,0.41,28545,0,0,0.1,0,0.1
RZ6503,RM312,EAST,700000,341981,91561,0,0.07,0.04,,70,20.8,519037,0.74,10500,0.5,5250,0.1,0,0.1
RZ6489,RM313,NORTH,1193000,420551.0847,136160,21150,0.12,0.06,,70,45.7,693574,0.58,17895,0,0,0.1,0,0.1
RZ6550,RM314,EAST,2314000,211925.5424,168292,940,0.23,0.04,,70,83.8,434609,0.19,34710,0,0,0,0,0
RZ6533,RM315,SOUTH 1,700000,140006.9492,0,0,0.07,0.01,,70,0,175009,0.25,10500,0,0,0,0,0
RZ6558,RM316,EAST,1840000,165172.0508,276865,24000,0.18,0.04,,70,53.8,519330,0.28,27600,0,0,0.1,0,0.1
RZ6512,RM317,SOUTH 2,700000,411577.6271,133334,1700,0.07,0.05,,70,68.8,650356,0.93,10500,0.8,8400,0.1,0,0.1
RZ6538,RM318,NORTH,1084000,305538.678,1238765,340,0.11,0.15,,70,434,1621198,1.5,16260,1.5,24390,0.2,0,0.2
RZ6561,RM319,SOUTH 1,984000,156206.5763,68242,0,0.1,0.02,,70,41.1,263500,0.27,14760,0,0,0,0,0
RZ6549,RM320,SOUTH 1,1228000,253552.2542,185670.62,340,0.12,0.04,,70,104.7,503121,0.41,18420,0,0,0.1,0,0.1
RZ6565,RM321,WEST 1,1042000,465816,286585,19850,0.1,0.08,,70,106.7,898630,0.86,15630,0.8,12504,0.1,0,0.1
RZ6542,RM322,SOUTH 2,876000,207066,382382,0,0.09,0.06,,70,0,641215,0.73,13140,0.5,6570,0.1,0,0.1
RZ6511,RM323,SOUTH 2,1460000,340745.2034,296878,77410,0.15,0.06,,70,76.4,838925,0.57,21900,0,0,0.1,0,0.1
RZ6534,RM324,SOUTH 1,873000,511766.2542,221430,30550,0.09,0.07,,70,108,906963,1.04,13095,1.1,14404.5,0.1,0,0.1
RZ6544,RM325,SOUTH 1,959000,106973.3559,265918,5075,0.1,0.04,,70,233.4,407247,0.42,14385,0,0,0,0,0
RZ6525,RM326,EAST,500000,247732,0,0,0.05,0.02,,70,0,309665,0.62,7500,0,0,0,0,0
RZ6527,RM327,EAST,500000,52514,0,0,0.05,0.01,,70,0,65643,0.13,7500,0,0,0,0,0
RZ6121,RM328,HO,0,298727,477319,0,0,0.08,,70,0,850728,#DIV/0!,0,#DIV/0!,#DIV/0!,0.1,0,0.1
RZ6601,RM329,WEST 2,1675000,336932.9661,237528,0,0.17,0.06,,70,57.5,658694,0.39,25125,0,0,0.1,0,0.1
RZ6610,RM330,NORTH,1233000,177996.1017,55346,0,0.12,0.02,,70,28.3,277841,0.23,18495,0,0,0,0,0
RZ6573,RM331,SOUTH 1,700000,272758.6949,2610,0,0.07,0.03,,70,15.9,343558,0.49,10500,0,0,0,0,0
RZ6574,RM332,EAST,700000,701071,0,0,0.07,0.07,,70,0,876339,1.25,10500,1.3,13650,0.1,0,0.1
RZ6676,RM333,EAST,700000,185938,141622,0,0.07,0.03,,70,81.4,374045,0.53,10500,0,0,0,0,0
RZ6628,RM334,EAST,700000,90018.05085,119545,450,0.07,0.02,,70,72.3,232743,0.33,10500,0,0,0,0,0
RZ6632,RM335,NORTH,1716000,282759.678,234470,33550,0.17,0.05,,70,63.7,638245,0.37,25740,0,0,0.1,0,0.1
RZ6713,RM336,WEST 2,1846000,130161.0508,367974,0,0.18,0.05,,70,58.3,530675,0.29,27690,0,0,0.1,0,0.1
RZ6652,RM337,SOUTH 2,1212000,198435.8305,2161,14305,0.12,0.02,,70,1.3,271663,0.22,18180,0,0,0,0,0
RZ6654,RM338,NORTH,2359000,557302.2542,167062,157636,0.24,0.07,,70,42.4,1100144,0.47,35385,0,0,0.1,0,0.1
RZ6682,RM339,SOUTH 2,1467000,148313.9661,289902,1200,0.15,0.04,,70,74.2,477094,0.33,22005,0,0,0.1,0,0.1
RZ6629,RM340,WEST 1,1007000,424559.4746,188340,4020,0.1,0.06,,70,57.5,725069,0.72,15105,0.5,7552.5,0.1,0,0.1
RZ6609,RM341,WEST 2,700000,512244.0508,136181,44355,0.07,0.06,,70,33.6,843019,1.2,10500,1.3,13650,0.1,0,0.1
RZ6633,RM342,WEST 1,1055000,1090430.085,330692,15742,0.11,0.14,,70,62.2,1717343,1.63,15825,1.5,23737.5,0.2,0,0.2
RZ6669,RM343,SOUTH 2,1414000,314179.1864,349335,0,0.14,0.07,,70,64.3,742059,0.52,21210,0,0,0.1,0,0.1
RZ6611,RM344,WEST 1,762000,957704.9661,98614,2625,0.08,0.11,,70,74.2,1299683,1.71,11430,1.5,17145,0.1,0,0.1
RZ6681,RM345,SOUTH 2,1268000,149551,162104,0,0.13,0.03,,70,70.4,349043,0.28,19020,0,0,0,0,0
RZ6686,RM346,SOUTH 2,1021000,118895.9322,206700,0,0.1,0.03,,70,71.5,355320,0.35,15315,0,0,0,0,0
RZ6677,RM347,EAST,700000,956823,0,0,0.07,0.1,,70,0,1196029,1.71,10500,1.5,15750,0.1,0,0.1
RZ6707,RM348,SOUTH 2,1027000,229785.1525,319994,51300,0.1,0.05,,70,87,684175,0.67,15405,0,0,0.1,0,0.1
RZ6706,RM349,SOUTH 2,1462000,202396.2542,86918,0,0.15,0.03,,70,28.3,339913,0.23,21930,0,0,0,0,0
RZ6730,RM350,EAST,703000,183826.9831,90858,0,0.07,0.03,,70,49.1,320642,0.46,10545,0,0,0,0,0
RZ6723,RM351,SOUTH 2,700000,5821.847458,0,13500,0.07,0,,70,0,27527,0.04,10500,0,0,0,0,0
RZ6719,RM352,SOUTH 2,1046000,110913,239401,0,0.1,0.04,,70,71.9,378042,0.36,15690,0,0,0,0,0
RZ4274,RM353,SOUTH 2,7346000,629313.7966,413026,0,0.73,0.1,,70,76.3,1199668,0.16,110190,0,0,0.1,0,0.1
RZ6729,RM354,SOUTH 1,700000,216499.7627,1924,6000,0.07,0.02,,70,2.8,281549,0.4,10500,0,0,0,0,0
RZ6708,RM355,SOUTH 2,1171000,183500.1186,353353,3740,0.12,0.05,,70,63.7,588338,0.5,17565,0,0,0.1,0,0.1
RZ6743,RM356,SOUTH 2,1471000,83202.01695,262712,0,0.15,0.03,,70,76.6,366715,0.25,22065,0,0,0,0,0
RZ6724,RM357,SOUTH 1,816000,372591,15665,0,0.08,0.04,,70,25.6,481404,0.59,12240,0,0,0,0,0
RZ6247,RM358,WEST 2,1586000,539433,609962,0,0.16,0.11,,70,88.5,1284253,0.81,23790,0.5,11895,0.1,0,0.1
RZ6701,RM359,EAST,700000,364277,513902,8678.333333,0.07,0.09,,70,194.2,982266,1.4,10500,1.5,15750,0.1,0,0.1
RZ6683,RM360,SOUTH 2,901000,106909.6102,5526,4420,0.09,0.01,,70,7.4,145793,0.16,13515,0,0,0,0,0
RZ6741,RM361,SOUTH 2,1215000,100302.6949,285145,3825,0.12,0.04,,70,105.4,416261,0.34,18225,0,0,0,0,0
RZ6732,RM362,WEST 1,700000,377039.9661,33023,3000,0.07,0.04,,70,0,508823,0.73,10500,0.5,5250,0,0,0
RZ6705,RM363,SOUTH 1,1275000,216821,99604,2875,0.13,0.03,,70,70.8,374943,0.29,19125,0,0,0,0,0
RZ6790,RM364,SOUTH 2,3170000,565859.9661,757767,30090,0.32,0.13,,70,77.9,1510227,0.48,47550,0,0,0.2,0,0.2
RZ6772,RM365,EAST,961000,166143,144193,0,0.1,0.03,,70,81.6,351872,0.37,14415,0,0,0,0,0
RZ6774,RM366,EAST,700000,138196.0508,49633,0,0.07,0.02,,70,33.3,222378,0.32,10500,0,0,0,0,0
RZ2745,RM367,NORTH,5370000,23165.27119,0,0,0.54,0,,70,0,28957,0.01,80550,0,0,0,0,0
RZ6808,RM368,EAST,1023000,168731,245367,2090,0.1,0.04,,70,66.2,459416,0.45,15345,0,0,0,0,0
RZ6831,RM369,SOUTH 1,700000,769848.1356,0,0,0.07,0.08,,70,0,962310,1.37,10500,1.5,15750,0.1,0,0.1
RZ6742,RM370,SOUTH 2,716000,204207.9831,12983,53310,0.07,0.02,,70,30.4,348208,0.49,10740,0,0,0,0,0
RZ6765,RM371,SOUTH 2,927000,103595.3898,176596,0,0.09,0.03,,70,54.2,306090,0.33,13905,0,0,0,0,0
RZ6826,RM372,SOUTH 1,700000,748194.9661,0,0,0.07,0.07,,70,0,935244,1.34,10500,1.5,15750,0.1,0,0.1
RZ6841,RM373,NORTH,722000,49104.32203,49145,350,0.07,0.01,,70,17.3,111050,0.15,10830,0,0,0,0,0
RZ6783,RM374,EAST,700000,170434.9661,0,6110,0.07,0.02,,70,0,222209,0.32,10500,0,0,0,0,0
RZ6829,RM375,SOUTH 1,700000,56691,0,0,0.07,0.01,,70,0,70864,0.1,10500,0,0,0,0,0
RZ6828,RM376,SOUTH 1,700000,106939,0,0,0.07,0.01,,70,0,133674,0.19,10500,0,0,0,0,0
RZ6814,RM377,EAST,879000,162079,48264,4335,0.09,0.02,,70,33.3,257365,0.29,13185,0,0,0,0,0
